,jname,ndup,uid,ra,dec,file,root,srcid,nGr,Grating,grade,zfit,z,zkey,capers_flag,zxor,nRef,sn50,wmin,wmax,Lya,Ha,OIII,L_Ha,L_OIII,HST,NIRCam,slit,Fnu,Flam,References,comment,z_aspect_flux_sum,z_aspect_pixel_count,z_aspect_flag,failed_opening
0,j001358.80m302137.84,1,24757,3.494992,-30.360512,abell2744-castellano1-v3_prism-clear_3073_13963.spec.fits,abell2744-castellano1-v3,13963,0,NaN,1,1.6522,1.6522,NaN,NaN,NaN,0,-0.18,0.6,5.29,NaN,1.5,2.2,39.99,40.29,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
1,j001358.49m302136.60,1,24759,3.493713,-30.360167,abell2744-castellano1-v3_prism-clear_3073_14033.spec.fits,abell2744-castellano1-v3,14033,0,NaN,2,8.3099,8.3099,NaN,NaN,NaN,0,0.22,0.6,5.29,1.2,NaN,-0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
2,j001359.37m302133.43,1,24761,3.497377,-30.359286,abell2744-castellano1-v3_prism-clear_3073_14182.spec.fits,abell2744-castellano1-v3,14182,0,NaN,1,0.5558,0.5558,NaN,NaN,NaN,0,0.37,0.6,5.29,NaN,1.4,2.9,39.03,39.37,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
3,j001403.25m302131.92,1,24764,3.513548,-30.358868,abell2744-castellano1-v3_prism-clear_3073_14311.spec.fits,abell2744-castellano1-v3,14311,0,NaN,3,3.2236,3.2236,NaN,NaN,NaN,0,1.13,0.6,5.29,NaN,7.3,4.4,40.71,40.79,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
4,j001401.66m302128.43,1,24767,3.506926,-30.357897,abell2744-castellano1-v3_prism-clear_3073_14484.spec.fits,abell2744-castellano1-v3,14484,0,NaN,1,1.5566,1.5566,NaN,NaN,NaN,0,0.76,0.6,5.29,NaN,1.6,1.6,40.09,40.19,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
5,j001358.60m302128.68,1,24768,3.494172,-30.357968,abell2744-castellano1-v3_prism-clear_3073_14495.spec.fits,abell2744-castellano1-v3,14495,0,NaN,1,2.0581,2.0581,NaN,NaN,NaN,0,0.08,0.6,5.29,NaN,3.6,5.4,40.63,41.01,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,1.0,False
6,j001357.49m302125.89,1,24769,3.489535,-30.357192,abell2744-castellano1-v3_prism-clear_3073_14656.spec.fits,abell2744-castellano1-v3,14656,0,NaN,1,1.7196,1.7196,NaN,NaN,NaN,0,2.25,0.6,4.19,NaN,0.4,-0.5,39.42,NaN,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
7,j001359.21m302124.93,1,24770,3.496699,-30.356926,abell2744-castellano1-v3_prism-clear_3073_14751.spec.fits,abell2744-castellano1-v3,14751,0,NaN,1,2.5554,2.5554,NaN,NaN,NaN,0,0.43,0.6,5.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
8,j001359.18m302122.83,1,24771,3.496563,-30.356341,abell2744-castellano1-v3_prism-clear_3073_14842.spec.fits,abell2744-castellano1-v3,14842,0,NaN,3,6.4185,6.4185,NaN,NaN,NaN,0,1.05,0.6,5.29,-2.0,18.3,34.9,42.11,42.48,NaN,NaN,NaN,NaN,NaN,-,NaN,6.41,6.44,3.0,False
9,j001401.39m302122.32,1,24772,3.505796,-30.356201,abell2744-castellano1-v3_prism-clear_3073_14929.spec.fits,abell2744-castellano1-v3,14929,0,NaN,1,6.1426,6.1426,NaN,NaN,NaN,0,0.02,0.6,5.29,-0.2,1.1,3.4,40.78,41.22,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
10,j001403.58m302121.23,1,24773,3.514898,-30.355897,abell2744-castellano1-v3_prism-clear_3073_15024.spec.fits,abell2744-castellano1-v3,15024,0,NaN,1,1.4065,1.4065,NaN,NaN,NaN,0,0.66,0.6,5.29,NaN,1.2,0.5,40.07,39.75,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
11,j001401.34m302116.61,1,24777,3.505596,-30.354614,abell2744-castellano1-v3_prism-clear_3073_15319.spec.fits,abell2744-castellano1-v3,15319,0,NaN,1,5.375,5.375,NaN,NaN,NaN,0,0.31,0.6,5.29,1.4,1.7,3.1,40.55,40.98,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
12,j001359.15m302116.46,1,24778,3.496469,-30.354571,abell2744-castellano1-v3_prism-clear_3073_15360.spec.fits,abell2744-castellano1-v3,15360,0,NaN,1,7.855,7.855,NaN,NaN,NaN,0,0.14,0.6,5.29,NaN,NaN,2.8,NaN,41.26,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
13,j001404.65m302116.11,1,24779,3.519371,-30.354476,abell2744-castellano1-v3_prism-clear_3073_15376.spec.fits,abell2744-castellano1-v3,15376,0,NaN,3,5.5259,5.5259,NaN,NaN,NaN,0,1.23,0.6,5.29,1.7,11.9,13.0,41.62,41.74,NaN,NaN,NaN,NaN,NaN,-,NaN,5.52,5.55,3.0,False
14,j001358.84m302114.57,1,24781,3.495183,-30.354048,abell2744-castellano1-v3_prism-clear_3073_15506.spec.fits,abell2744-castellano1-v3,15506,0,NaN,1,1.6812,1.6812,NaN,NaN,NaN,0,0.93,0.6,5.29,NaN,NaN,1.1,NaN,39.89,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
15,j001403.31m302112.02,1,24782,3.513803,-30.353339,abell2744-castellano1-v3_prism-clear_3073_15672.spec.fits,abell2744-castellano1-v3,15672,0,NaN,3,5.9219,5.9202,NaN,NaN,NaN,0,1.42,0.6,5.29,-2.5,10.3,12.8,41.75,41.99,NaN,NaN,NaN,NaN,NaN,-,interactive fit -1 63 1.3 11,5.92,5.94,3.0,False
16,j001400.70m302110.65,1,24783,3.502914,-30.352957,abell2744-castellano1-v3_prism-clear_3073_15716.spec.fits,abell2744-castellano1-v3,15716,0,NaN,3,3.246,3.246,NaN,NaN,NaN,0,3.82,0.6,5.29,NaN,24.9,31.6,41.68,42.04,NaN,NaN,NaN,NaN,NaN,-,NaN,3.24,3.26,3.0,False
17,j001401.54m302111.55,1,24784,3.506426,-30.353209,abell2744-castellano1-v3_prism-clear_3073_15746.spec.fits,abell2744-castellano1-v3,15746,0,NaN,1,2.4614,2.4614,NaN,NaN,NaN,0,0.66,0.6,5.29,NaN,2.1,4.8,40.37,40.96,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
18,j001358.19m302110.18,1,24786,3.49244,-30.352829,abell2744-castellano1-v3_prism-clear_3073_15834.spec.fits,abell2744-castellano1-v3,15834,0,NaN,3,5.9676,5.9676,NaN,NaN,NaN,0,2.44,0.6,5.29,-2.1,7.6,NaN,41.48,NaN,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
19,j001404.52m302110.37,1,24787,3.518817,-30.35288,abell2744-castellano1-v3_prism-clear_3073_15840.spec.fits,abell2744-castellano1-v3,15840,0,NaN,1,5.8481,5.8481,NaN,NaN,NaN,0,0.41,0.6,5.29,-1.2,1.1,3.2,40.73,41.26,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
20,j001353.45m302105.54,1,24788,3.472729,-30.35154,abell2744-castellano1-v3_prism-clear_3073_15872.spec.fits,abell2744-castellano1-v3,15872,0,NaN,3,0.9077,0.9077,NaN,NaN,NaN,0,12.12,0.6,5.29,NaN,2.7,0.2,40.23,39.05,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
21,j001358.03m302106.02,1,24789,3.491802,-30.351672,abell2744-castellano1-v3_prism-clear_3073_16071.spec.fits,abell2744-castellano1-v3,16071,0,NaN,1,0.9943,0.9943,NaN,NaN,NaN,0,1.44,0.6,5.29,NaN,3.1,2.8,39.93,40.0,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
22,j001358.05m302105.47,1,24791,3.491887,-30.35152,abell2744-castellano1-v3_prism-clear_3073_16155.spec.fits,abell2744-castellano1-v3,16155,0,NaN,1,0.9466,0.9466,NaN,NaN,NaN,0,1.78,0.6,5.29,NaN,2.6,0.4,39.72,39.05,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
23,j001401.41m302104.81,1,24792,3.505854,-30.351335,abell2744-castellano1-v3_prism-clear_3073_16172.spec.fits,abell2744-castellano1-v3,16172,0,NaN,3,3.4628,3.4628,NaN,NaN,NaN,0,2.34,0.6,5.29,NaN,24.3,27.6,41.55,41.91,NaN,NaN,NaN,NaN,NaN,-,NaN,3.44,1.69,2.0,False
24,j001353.42m302103.08,1,24794,3.472601,-30.350856,abell2744-castellano1-v3_prism-clear_3073_16304.spec.fits,abell2744-castellano1-v3,16304,0,NaN,3,5.2263,5.2263,NaN,NaN,NaN,0,0.22,0.6,5.29,0.0,11.3,14.5,41.4,41.65,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,1.0,False
25,j001404.35m302101.64,1,24795,3.518131,-30.350457,abell2744-castellano1-v3_prism-clear_3073_16315.spec.fits,abell2744-castellano1-v3,16315,0,NaN,3,5.9308,5.9308,NaN,NaN,NaN,0,5.11,0.6,5.29,-5.5,33.2,45.3,42.43,42.78,NaN,NaN,NaN,NaN,NaN,-,bright lines,5.92,5.94,3.0,False
26,j001358.40m302102.68,1,24796,3.493342,-30.350745,abell2744-castellano1-v3_prism-clear_3073_16330.spec.fits,abell2744-castellano1-v3,16330,0,NaN,3,5.2213,5.2213,NaN,NaN,NaN,0,1.4,0.6,5.29,0.3,8.6,NaN,41.52,NaN,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
27,j001352.97m302059.76,1,24799,3.470688,-30.349935,abell2744-castellano1-v3_prism-clear_3073_16511.spec.fits,abell2744-castellano1-v3,16511,0,NaN,3,3.6757,3.6757,NaN,NaN,NaN,0,0.62,0.6,5.29,NaN,6.3,5.7,40.99,41.31,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,1.0,False
28,j001359.11m302059.40,1,24800,3.496285,-30.349832,abell2744-castellano1-v3_prism-clear_3073_16555.spec.fits,abell2744-castellano1-v3,16555,0,NaN,3,5.2188,5.2188,NaN,NaN,NaN,0,0.7,0.6,5.29,NaN,8.5,13.2,41.34,41.84,NaN,NaN,NaN,NaN,NaN,-,NaN,5.21,5.24,3.0,False
29,j001403.54m302058.98,1,24801,3.514747,-30.349717,abell2744-castellano1-v3_prism-clear_3073_16570.spec.fits,abell2744-castellano1-v3,16570,0,NaN,3,3.9847,3.9847,NaN,NaN,NaN,0,0.61,0.6,5.29,1.0,15.7,18.8,41.69,42.06,NaN,NaN,NaN,NaN,NaN,-,NaN,3.98,1.57,2.0,False
30,j001353.48m302057.97,1,24802,3.472814,-30.349435,abell2744-castellano1-v3_prism-clear_3073_16583.spec.fits,abell2744-castellano1-v3,16583,0,NaN,1,0.8336,0.8336,NaN,NaN,NaN,0,2.56,0.6,5.29,NaN,2.5,-0.2,39.93,NaN,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
31,j001359.70m302057.68,1,24804,3.498771,-30.349355,abell2744-castellano1-v3_prism-clear_3073_16669.spec.fits,abell2744-castellano1-v3,16669,0,NaN,3,5.2182,5.2182,NaN,NaN,NaN,0,0.36,1.77,5.29,NaN,10.0,12.4,41.39,41.6,NaN,NaN,NaN,NaN,NaN,-,NaN,5.21,5.24,3.0,False
32,j001401.35m302057.86,1,24805,3.505628,-30.349406,abell2744-castellano1-v3_prism-clear_3073_16673.spec.fits,abell2744-castellano1-v3,16673,0,NaN,3,5.5239,5.5239,NaN,NaN,NaN,0,0.97,0.6,5.29,0.6,18.5,25.0,41.84,42.08,NaN,NaN,NaN,NaN,NaN,-,NaN,5.51,5.55,3.0,False
33,j001353.44m302056.76,1,24806,3.472668,-30.349101,abell2744-castellano1-v3_prism-clear_3073_16708.spec.fits,abell2744-castellano1-v3,16708,0,NaN,3,3.6973,3.6972,NaN,NaN,NaN,0,2.83,0.6,5.29,NaN,12.3,14.7,41.29,41.7,NaN,NaN,NaN,NaN,NaN,-,NaN,3.68,3.73,3.0,False
34,j001353.26m302050.89,1,24807,3.471925,-30.347468,abell2744-castellano1-v3_prism-clear_3073_16709.spec.fits,abell2744-castellano1-v3,16709,0,NaN,3,1.6085,1.6085,NaN,NaN,NaN,0,54.32,0.6,5.29,NaN,16.8,0.3,41.63,39.87,NaN,NaN,NaN,NaN,NaN,-,NaN,1.61,1.62,3.0,False
35,j001404.50m302052.37,1,24808,3.518732,-30.347881,abell2744-castellano1-v3_prism-clear_3073_16789.spec.fits,abell2744-castellano1-v3,16789,0,NaN,3,1.8337,1.8337,NaN,NaN,NaN,0,41.68,0.6,5.29,NaN,23.1,19.1,41.88,41.98,NaN,NaN,NaN,NaN,NaN,-,NaN,1.83,1.85,3.0,False
36,j001402.52m302049.94,1,24810,3.510519,-30.347206,abell2744-castellano1-v3_prism-clear_3073_16874.spec.fits,abell2744-castellano1-v3,16874,0,NaN,3,3.4758,3.4758,NaN,NaN,NaN,0,5.91,0.6,5.29,NaN,25.1,22.3,41.72,41.84,NaN,NaN,NaN,NaN,NaN,-,NaN,3.47,3.49,3.0,False
37,j001359.80m302055.26,1,24811,3.499159,-30.348684,abell2744-castellano1-v3_prism-clear_3073_16876.spec.fits,abell2744-castellano1-v3,16876,0,NaN,1,1.2675,1.2675,NaN,NaN,NaN,0,2.2,1.45,5.29,NaN,1.8,NaN,40.03,NaN,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
38,j001403.79m302055.03,1,24812,3.515773,-30.34862,abell2744-castellano1-v3_prism-clear_3073_16928.spec.fits,abell2744-castellano1-v3,16928,0,NaN,3,3.3046,3.3046,NaN,NaN,NaN,0,-0.91,0.6,5.29,NaN,5.8,7.6,41.0,41.51,NaN,NaN,NaN,NaN,NaN,-,dq,NaN,NaN,1.0,False
39,j001359.12m302055.04,1,24813,3.496348,-30.348622,abell2744-castellano1-v3_prism-clear_3073_16947.spec.fits,abell2744-castellano1-v3,16947,0,NaN,1,4.3206,4.3205,NaN,NaN,NaN,0,0.85,2.85,5.29,NaN,3.3,NaN,40.69,NaN,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
40,j001357.37m302052.59,1,24814,3.489045,-30.347942,abell2744-castellano1-v3_prism-clear_3073_17136.spec.fits,abell2744-castellano1-v3,17136,0,NaN,1,0.9019,0.902,NaN,NaN,NaN,0,4.61,0.6,5.29,NaN,4.2,0.1,40.02,38.37,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
41,j001353.37m302049.57,1,24815,3.472387,-30.347102,abell2744-castellano1-v3_prism-clear_3073_17140.spec.fits,abell2744-castellano1-v3,17140,0,NaN,2,0.5779,0.5779,NaN,NaN,NaN,0,7.29,0.6,5.29,NaN,4.3,2.4,40.02,39.83,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
42,j001359.73m302044.27,1,24816,3.498889,-30.345631,abell2744-castellano1-v3_prism-clear_3073_17196.spec.fits,abell2744-castellano1-v3,17196,0,NaN,3,0.7473,0.7473,NaN,NaN,NaN,0,74.75,1.09,5.29,NaN,6.3,NaN,40.71,NaN,NaN,NaN,NaN,NaN,NaN,-,NaN,5.48,5.44,3.0,False
43,j001352.41m302048.74,1,24818,3.468381,-30.346873,abell2744-castellano1-v3_prism-clear_3073_17266.spec.fits,abell2744-castellano1-v3,17266,0,NaN,2,1.4743,1.4744,NaN,NaN,NaN,0,10.53,0.6,5.29,NaN,2.0,0.3,40.18,39.48,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
44,j001352.89m302036.91,1,24819,3.470383,-30.343585,abell2744-castellano1-v3_prism-clear_3073_17275.spec.fits,abell2744-castellano1-v3,17275,0,NaN,3,0.4964,0.5017,NaN,NaN,NaN,0,113.63,0.6,5.29,NaN,6.0,-2.8,40.29,NaN,NaN,NaN,NaN,NaN,NaN,-,interactive fit -1 8 1.3 21,0.5,0.51,3.0,False
45,j001403.31m302045.14,1,24821,3.513782,-30.345872,abell2744-castellano1-v3_prism-clear_3073_17334.spec.fits,abell2744-castellano1-v3,17334,0,NaN,3,3.2362,3.2363,NaN,NaN,NaN,0,19.68,0.6,5.29,NaN,43.8,14.3,42.37,41.85,NaN,NaN,NaN,NaN,NaN,-,NaN,3.23,3.25,3.0,False
46,j001402.45m302048.63,1,24822,3.510213,-30.346842,abell2744-castellano1-v3_prism-clear_3073_17336.spec.fits,abell2744-castellano1-v3,17336,0,NaN,1,4.972,4.972,NaN,NaN,NaN,0,-0.09,0.6,5.29,0.8,1.5,4.3,40.59,41.29,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
47,j001402.86m302048.00,1,24823,3.511933,-30.346666,abell2744-castellano1-v3_prism-clear_3073_17385.spec.fits,abell2744-castellano1-v3,17385,0,NaN,3,1.6904,1.6904,NaN,NaN,NaN,0,1.54,0.6,5.29,NaN,21.8,28.3,41.57,41.78,NaN,NaN,NaN,NaN,NaN,-,NaN,1.68,1.71,3.0,False
48,j001401.49m302047.22,1,24824,3.506216,-30.346449,abell2744-castellano1-v3_prism-clear_3073_17386.spec.fits,abell2744-castellano1-v3,17386,0,NaN,3,0.9107,0.9107,NaN,NaN,NaN,0,2.04,0.6,5.29,NaN,8.0,10.6,40.43,40.69,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
49,j001403.72m302046.48,1,24825,3.515503,-30.346245,abell2744-castellano1-v3_prism-clear_3073_17437.spec.fits,abell2744-castellano1-v3,17437,0,NaN,3,5.5987,5.5987,NaN,NaN,NaN,0,3.2,0.6,5.29,1.5,29.9,42.3,42.23,42.65,NaN,NaN,NaN,NaN,NaN,-,NaN,5.59,5.63,3.0,False
50,j001402.18m302044.83,1,24826,3.509103,-30.345787,abell2744-castellano1-v3_prism-clear_3073_17648.spec.fits,abell2744-castellano1-v3,17648,0,NaN,1,3.154,3.154,NaN,NaN,NaN,0,0.9,0.6,5.29,NaN,2.0,-0.2,40.18,NaN,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
51,j001353.02m302043.27,1,24828,3.470899,-30.345352,abell2744-castellano1-v3_prism-clear_3073_17776.spec.fits,abell2744-castellano1-v3,17776,0,NaN,1,0.5625,0.5625,NaN,NaN,NaN,0,1.08,0.6,5.29,NaN,3.3,2.8,39.32,39.35,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
52,j001401.94m302042.86,1,24829,3.508066,-30.345239,abell2744-castellano1-v3_prism-clear_3073_17818.spec.fits,abell2744-castellano1-v3,17818,0,NaN,1,0.5796,0.5796,NaN,NaN,NaN,0,0.47,0.6,5.29,NaN,0.5,0.0,38.52,NaN,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
53,j001351.89m302040.22,1,24830,3.466188,-30.344504,abell2744-castellano1-v3_prism-clear_3073_17967.spec.fits,abell2744-castellano1-v3,17967,0,NaN,1,1.0348,1.0348,NaN,NaN,NaN,0,0.34,0.6,5.29,NaN,1.0,1.6,39.51,39.8,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
54,j001403.19m302039.71,1,24831,3.513299,-30.344364,abell2744-castellano1-v3_prism-clear_3073_17980.spec.fits,abell2744-castellano1-v3,17980,0,NaN,1,0.7336,0.7336,NaN,NaN,NaN,0,0.97,0.6,5.29,NaN,1.4,2.5,39.6,39.94,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
55,j001401.73m302039.45,1,24833,3.507198,-30.34429,abell2744-castellano1-v3_prism-clear_3073_17991.spec.fits,abell2744-castellano1-v3,17991,0,NaN,3,5.0634,5.0634,NaN,NaN,NaN,0,2.1,0.6,5.29,-3.4,18.7,23.4,41.54,41.88,NaN,NaN,NaN,NaN,NaN,-,NaN,5.06,5.08,3.0,False
56,j001354.72m302039.10,1,24834,3.477994,-30.344194,abell2744-castellano1-v3_prism-clear_3073_18005.spec.fits,abell2744-castellano1-v3,18005,0,NaN,1,3.9277,3.9277,NaN,NaN,NaN,0,-0.11,0.6,5.29,NaN,2.0,3.2,40.39,40.86,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
57,j001353.14m302035.43,1,24835,3.471411,-30.343176,abell2744-castellano1-v3_prism-clear_3073_18074.spec.fits,abell2744-castellano1-v3,18074,0,NaN,3,1.6093,1.6093,NaN,NaN,NaN,0,3.52,0.6,5.29,NaN,7.7,13.0,40.93,41.31,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
58,j001353.61m302037.04,1,24837,3.473365,-30.343622,abell2744-castellano1-v3_prism-clear_3073_18148.spec.fits,abell2744-castellano1-v3,18148,0,NaN,3,6.2115,6.2115,NaN,NaN,NaN,0,1.08,0.6,5.29,0.4,12.0,24.7,41.79,42.18,NaN,NaN,NaN,NaN,NaN,-,NaN,6.21,6.23,3.0,False
59,j001351.77m302036.71,1,24838,3.465714,-30.34353,abell2744-castellano1-v3_prism-clear_3073_18151.spec.fits,abell2744-castellano1-v3,18151,0,NaN,3,2.7198,2.7198,NaN,NaN,NaN,0,0.94,0.6,5.29,NaN,4.5,3.9,40.88,41.07,NaN,NaN,NaN,NaN,NaN,-,;,NaN,NaN,0.0,False
60,j001403.79m302036.10,1,24840,3.515782,-30.343361,abell2744-castellano1-v3_prism-clear_3073_18183.spec.fits,abell2744-castellano1-v3,18183,0,NaN,3,3.9807,3.9807,NaN,NaN,NaN,0,2.41,0.6,5.29,-1.0,15.4,15.7,41.42,41.67,NaN,NaN,NaN,NaN,NaN,-,NaN,3.96,4.01,3.0,False
61,j001403.47m302032.86,1,24845,3.514457,-30.342461,abell2744-castellano1-v3_prism-clear_3073_18367.spec.fits,abell2744-castellano1-v3,18367,0,NaN,1,1.495,1.495,NaN,NaN,NaN,0,0.8,0.6,5.29,NaN,1.3,2.6,40.08,40.44,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
62,j001401.86m302032.15,1,24847,3.507759,-30.342264,abell2744-castellano1-v3_prism-clear_3073_18416.spec.fits,abell2744-castellano1-v3,18416,0,NaN,1,2.5715,2.5715,NaN,NaN,NaN,0,2.25,0.6,5.29,NaN,2.9,0.8,40.51,40.22,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
63,j001354.97m302030.75,1,24849,3.479051,-30.341876,abell2744-castellano1-v3_prism-clear_3073_18481.spec.fits,abell2744-castellano1-v3,18481,0,NaN,1,0.7782,0.7782,NaN,NaN,NaN,0,3.26,0.6,5.29,NaN,2.1,2.2,39.66,39.81,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
64,j001354.22m302029.35,1,24850,3.475923,-30.341487,abell2744-castellano1-v3_prism-clear_3073_18558.spec.fits,abell2744-castellano1-v3,18558,0,NaN,3,3.3378,3.3378,NaN,NaN,NaN,0,4.22,0.6,5.29,NaN,10.9,11.7,41.14,41.45,NaN,NaN,NaN,NaN,NaN,-,NaN,3.32,3.37,3.0,False
65,j001402.10m302029.24,1,24852,3.508767,-30.341455,abell2744-castellano1-v3_prism-clear_3073_18590.spec.fits,abell2744-castellano1-v3,18590,0,NaN,1,3.1495,3.1495,NaN,NaN,NaN,0,0.78,0.6,5.29,NaN,2.2,0.4,40.68,40.25,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
66,j001354.86m302029.12,1,24853,3.478601,-30.341422,abell2744-castellano1-v3_prism-clear_3073_18595.spec.fits,abell2744-castellano1-v3,18595,0,NaN,1,1.7854,1.7854,NaN,NaN,NaN,0,2.11,0.6,5.29,NaN,3.0,0.1,40.37,38.91,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
67,j001350.74m302028.65,1,24854,3.46142,-30.341292,abell2744-castellano1-v3_prism-clear_3073_18611.spec.fits,abell2744-castellano1-v3,18611,0,NaN,3,0.893,0.893,NaN,NaN,NaN,0,2.39,0.6,5.29,NaN,17.1,25.6,41.08,41.42,NaN,NaN,NaN,NaN,NaN,-,NaN,0.88,0.9,3.0,False
68,j001403.85m302028.35,1,24855,3.516053,-30.341207,abell2744-castellano1-v3_prism-clear_3073_18653.spec.fits,abell2744-castellano1-v3,18653,0,NaN,1,1.4781,1.4781,NaN,NaN,NaN,0,0.46,0.6,5.29,NaN,2.6,2.7,40.06,40.21,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
69,j001354.41m302026.65,1,24856,3.476717,-30.340737,abell2744-castellano1-v3_prism-clear_3073_18678.spec.fits,abell2744-castellano1-v3,18678,0,NaN,3,0.6041,0.6041,NaN,NaN,NaN,0,8.1,0.6,5.29,NaN,24.6,29.5,40.72,41.05,NaN,NaN,NaN,NaN,NaN,-,NaN,0.6,0.61,3.0,False
70,j001354.60m302024.32,1,24860,3.477493,-30.34009,abell2744-castellano1-v3_prism-clear_3073_18752.spec.fits,abell2744-castellano1-v3,18752,0,NaN,1,0.8463,0.8463,NaN,NaN,NaN,0,4.11,0.6,5.29,NaN,1.3,2.4,39.67,40.03,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
71,j001402.09m302025.66,1,24861,3.508695,-30.340462,abell2744-castellano1-v3_prism-clear_3073_18798.spec.fits,abell2744-castellano1-v3,18798,0,NaN,1,0.9054,0.9054,NaN,NaN,NaN,0,1.09,0.6,5.29,NaN,2.1,2.2,39.42,39.56,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
72,j001403.37m302022.74,1,24862,3.514045,-30.339651,abell2744-castellano1-v3_prism-clear_3073_18937.spec.fits,abell2744-castellano1-v3,18937,0,NaN,3,3.2831,3.2831,NaN,NaN,NaN,0,0.54,0.6,5.29,NaN,3.3,7.8,40.9,41.57,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
73,j001402.24m302019.06,1,24864,3.509338,-30.338629,abell2744-castellano1-v3_prism-clear_3073_18961.spec.fits,abell2744-castellano1-v3,18961,0,NaN,3,3.2545,3.2545,NaN,NaN,NaN,0,2.07,0.6,5.29,NaN,11.0,10.8,41.13,41.43,NaN,NaN,NaN,NaN,NaN,-,NaN,3.24,3.28,3.0,False
74,j001351.92m302021.40,1,24865,3.466349,-30.339279,abell2744-castellano1-v3_prism-clear_3073_19024.spec.fits,abell2744-castellano1-v3,19024,0,NaN,3,5.103,5.1016,NaN,NaN,NaN,0,1.94,0.6,5.29,-2.1,14.2,13.5,41.73,41.97,NaN,NaN,NaN,NaN,NaN,-,interactive fit -1 100 1.3 11 dq,5.1,5.13,3.0,False
75,j001402.96m302019.98,1,24866,3.512318,-30.338883,abell2744-castellano1-v3_prism-clear_3073_19029.spec.fits,abell2744-castellano1-v3,19029,0,NaN,1,1.6874,1.6874,NaN,NaN,NaN,0,1.95,0.6,5.29,NaN,-0.5,-0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
