,jname,ndup,uid,ra,dec,file,root,srcid,nGr,Grating,grade,zfit,z,zkey,capers_flag,zxor,nRef,sn50,wmin,wmax,Lya,Ha,OIII,L_Ha,L_OIII,HST,NIRCam,slit,Fnu,Flam,References,comment,z_aspect_flux_sum,z_aspect_pixel_count,z_aspect_flag,failed_opening
17598,j021720.10m051633.14,2,13444,34.333755,-5.275872,rubies-uds42-nod-v3_prism-clear_4233_26421.spec.fits,rubies-uds42-nod-v3,26421,1,G395M,3,4.5528,4.5528,NaN,NaN,NaN,0,1.76,0.6,5.29,1.9,21.7,31.8,42.08,42.65,NaN,NaN,NaN,NaN,NaN,-,Redshift matches rubies-uds42-v3_g395m-f290lp_4233_26421 z=4.5543,4.54,4.58,3.0,False
17599,j021729.77m051633.27,2,13514,34.374061,-5.275908,rubies-uds42-nod-v3_prism-clear_4233_26509.spec.fits,rubies-uds42-nod-v3,26509,1,G395M,3,2.324,2.324,NaN,NaN,NaN,0,14.19,0.6,5.29,NaN,17.3,-0.2,41.74,NaN,NaN,NaN,NaN,NaN,NaN,-,Redshift matches rubies-uds42-v3_prism-clear_4233_26509 z=2.3237,NaN,NaN,1.0,False
17600,j021729.96m051631.90,4,22015,34.374854,-5.275528,rubies-uds42-nod-v3_prism-clear_4233_26611.spec.fits,rubies-uds42-nod-v3,26611,0,NaN,3,5.1245,5.1245,NaN,NaN,NaN,1,1.04,0.6,5.29,3.2,20.5,14.3,41.95,41.89,NaN,NaN,NaN,NaN,NaN,DKo24  z=N/A,Redshift matches rubies-uds41-v3_prism-clear_4233_26611 z=5.1317,5.11,5.14,3.0,False
17601,j021730.32m051630.04,4,11238,34.376338,-5.275011,rubies-uds42-nod-v3_prism-clear_4233_26924.spec.fits,rubies-uds42-nod-v3,26924,1,G395M,3,7.418,7.4181,NaN,NaN,NaN,0,0.28,0.6,5.29,-0.2,NaN,6.2,NaN,41.9,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
17602,j021735.74m051627.22,2,13556,34.39891,-5.274228,rubies-uds42-nod-v3_prism-clear_4233_27423.spec.fits,rubies-uds42-nod-v3,27423,1,G395M,3,5.2627,5.2627,NaN,NaN,NaN,0,0.77,0.6,5.29,-1.2,4.9,7.6,41.51,41.89,NaN,NaN,NaN,NaN,NaN,-,Redshift matches rubies-uds42-v3_g395m-f290lp_4233_27423 z=5.2472,NaN,NaN,0.0,False
17603,j021731.98m051626.92,2,13557,34.383252,-5.274144,rubies-uds42-nod-v3_prism-clear_4233_27477.spec.fits,rubies-uds42-nod-v3,27477,1,G395M,3,1.535,1.535,NaN,NaN,NaN,0,1.62,0.6,5.29,NaN,2.8,6.1,40.49,41.0,NaN,NaN,NaN,NaN,NaN,-,Redshift matches rubies-uds42-v3_prism-clear_4233_27477 z=1.5365,NaN,NaN,0.0,False
17604,j021726.29m051624.19,4,22165,34.359546,-5.273386,rubies-uds42-nod-v3_prism-clear_4233_27945.spec.fits,rubies-uds42-nod-v3,27945,0,NaN,3,7.4995,7.4995,NaN,NaN,NaN,0,1.26,2.67,5.29,NaN,NaN,14.2,NaN,42.27,NaN,NaN,NaN,NaN,NaN,-,Redshift matches rubies-uds43-v3_prism-clear_4233_27945 z=7.5009,NaN,NaN,1.0,False
17605,j021730.16m051623.63,3,11247,34.375666,-5.27323,rubies-uds42-nod-v3_prism-clear_4233_28052.spec.fits,rubies-uds42-nod-v3,28052,1,G395M,3,4.3763,4.3763,NaN,NaN,NaN,0,1.97,0.6,5.29,-0.9,9.9,9.8,41.48,41.73,NaN,NaN,NaN,NaN,NaN,-,Redshift matches rubies-uds42-v3_prism-clear_4233_28052 z=4.3762,4.36,4.39,3.0,False
17606,j021731.35m051623.18,2,13560,34.380632,-5.273105,rubies-uds42-nod-v3_prism-clear_4233_28147.spec.fits,rubies-uds42-nod-v3,28147,1,G395M,3,2.6027,2.6027,NaN,NaN,NaN,0,1.75,0.6,5.29,NaN,8.1,11.1,41.26,41.65,NaN,NaN,NaN,NaN,NaN,-,Redshift matches rubies-uds42-v3_prism-clear_4233_28147 z=2.6016,NaN,NaN,1.0,False
17607,j021730.34m051619.65,2,13563,34.376427,-5.272124,rubies-uds42-nod-v3_prism-clear_4233_28749.spec.fits,rubies-uds42-nod-v3,28749,1,G395M,3,6.2783,6.2783,NaN,NaN,NaN,0,0.45,0.6,5.29,-0.1,6.2,10.0,41.8,42.01,NaN,NaN,NaN,NaN,NaN,-,Redshift matches rubies-uds42-v3_prism-clear_4233_28749 z=6.2789,NaN,NaN,1.0,False
